"bpl","qob","nonwhite","vet_wwko","home_ownership","qob_minus_kw"
"Colorado",1,0,1,1,-54.5
"Texas",1,0,0,0,-54.5
"Minnesota",1,0,1,1,-54.5
"New York",1,0,1,1,-54.5
"Illinois",1,0,1,0,-54.5
"Virginia",1,0,1,1,-54.5
"New Jersey",1,0,1,0,-54.5
"North Dakota",1,0,1,0,-54.5
"Missouri",1,0,0,0,-54.5
"Wisconsin",1,0,1,0,-54.5
"Hawaii",1,1,1,1,-54.5
"Oregon",1,0,1,1,-54.5
"Wisconsin",1,0,1,0,-54.5
"Kansas",1,0,1,1,-54.5
"Missouri",1,0,0,0,-54.5
"Iowa",1,0,1,1,-54.5
"Pennsylvania",1,0,1,1,-54.5
"Wisconsin",1,0,1,1,-54.5
"Mississippi",1,0,1,1,-54.5
"Tennessee",1,0,0,0,-54.5
"Pennsylvania",1,0,1,0,-54.5
"Tennessee",1,0,1,1,-54.5
"North Carolina",1,0,0,1,-54.5
"Missouri",1,0,1,1,-54.5
"New York",1,0,1,1,-54.5
"California",1,0,1,1,-54.5
"Wisconsin",1,0,1,1,-54.5
"New York",1,0,0,0,-54.5
"Kentucky",1,0,1,1,-54.5
"Florida",1,0,0,0,-54.5
"Oregon",1,0,1,1,-54.5
"Massachusetts",1,0,1,1,-54.5
"Michigan",1,0,1,1,-54.5
"Wisconsin",1,0,1,1,-54.5
"Rhode Island",1,0,0,1,-54.5
"Missouri",1,1,1,1,-54.5
"Pennsylvania",1,0,1,1,-54.5
"New York",1,0,0,1,-54.5
"Illinois",1,0,0,0,-54.5
"Ohio",1,0,1,0,-54.5
"Montana",1,0,1,1,-54.5
"Massachusetts",1,0,1,1,-54.5
"New York",1,0,1,0,-54.5
"Nebraska",1,0,1,1,-54.5
"Pennsylvania",1,0,1,1,-54.5
"New Jersey",1,0,1,1,-54.5
"Massachusetts",1,0,1,0,-54.5
"Maryland",1,0,1,0,-54.5
"Florida",1,0,1,1,-54.5
"Tennessee",1,0,0,0,-54.5
"Louisiana",1,0,1,1,-54.5
"North Carolina",1,0,1,1,-54.5
"Illinois",1,0,0,1,-54.5
"New Jersey",1,0,0,1,-54.5
"New York",1,0,1,0,-54.5
"New York",1,0,1,0,-54.5
"New Jersey",1,0,1,1,-54.5
"Illinois",1,0,1,0,-54.5
"Iowa",1,0,1,0,-54.5
"Oregon",1,0,0,1,-54.5
"Georgia",1,1,1,0,-54.5
"Tennessee",1,0,0,0,-54.5
"Illinois",1,0,1,1,-54.5
"Minnesota",1,0,1,1,-54.5
"Ohio",1,0,0,1,-54.5
"Arizona",1,0,1,1,-54.5
"Massachusetts",1,0,1,0,-54.5
"Georgia",1,0,1,0,-54.5
"Tennessee",1,0,0,0,-54.5
"New Jersey",1,0,1,1,-54.5
"California",1,0,1,1,-54.5
"Illinois",1,0,1,0,-54.5
"California",1,1,0,0,-54.5
"Pennsylvania",1,0,0,1,-54.5
"Massachusetts",1,0,1,0,-54.5
"Kentucky",1,0,1,0,-54.5
"Arizona",1,0,1,0,-54.5
"New Jersey",1,0,0,0,-54.5
"Missouri",1,0,1,1,-54.5
"Pennsylvania",1,0,0,0,-54.5
"Ohio",1,0,0,1,-54.5
"Texas",1,0,0,0,-54.5
"Georgia",1,0,1,1,-54.5
"New York",1,0,1,0,-54.5
"Virginia",1,0,1,1,-54.5
"South Dakota",1,0,1,1,-54.5
"California",1,0,1,1,-54.5
"Indiana",1,0,1,1,-54.5
"New York",1,1,0,1,-54.5
"Michigan",1,0,1,1,-54.5
"Maryland",1,0,1,1,-54.5
"Wisconsin",1,0,0,1,-54.5
"Illinois",1,0,1,1,-54.5
"Georgia",1,1,0,0,-54.5
"North Carolina",1,1,0,1,-54.5
"Pennsylvania",1,0,0,1,-54.5
"Texas",1,0,0,1,-54.5
"Pennsylvania",1,0,1,1,-54.5
"New York",1,0,1,0,-54.5
"Pennsylvania",1,0,1,1,-54.5
"Texas",1,0,1,1,-54.5
"Massachusetts",1,0,0,0,-54.5
"California",1,0,1,1,-54.5
"Virginia",1,0,1,1,-54.5
"Missouri",1,0,1,1,-54.5
"Alabama",1,1,0,0,-54.5
"Ohio",1,0,0,1,-54.5
"Mississippi",1,1,1,0,-54.5
"North Carolina",1,0,0,1,-54.5
"Louisiana",1,1,0,0,-54.5
"Michigan",1,0,1,0,-54.5
"Virginia",1,0,1,1,-54.5
"Ohio",1,1,1,1,-54.5
"New York",1,0,1,1,-54.5
