"HISEI","HOMEPOS","IMMIG","GRADE","GENDER","MATH","W"
79.05,1.1179,1,0,0,556.5881,485.2478
73.91,0.7983,1,0,0,467.7695,1340.507
82.41,1.1761,1,0,0,680.1402,588.8771
24.98,-0.9389,1,0,1,454.1142,939.5268
16.5,0.2333,1,1,1,501.8817,944.3411
85.85,0.4713,2,0,1,366.1656,996.4446
80.78,-0.0387,1,0,0,334.3003,604.3597
70.5,0.2929,3,0,1,458.0844,557.7143
73.91,1.1559,1,1,1,497.3678,950.8541
70.89,0.6069,1,0,0,530.8892,651.4933
75.43,-1.4421,1,0,0,519.5056,720.4376
33.76,0.4548,1,0,1,431.8513,528.525
35.34,0.0469,1,0,1,381.8917,870.0235
54.54,1.5405,1,0,0,600.8072,673.3137
23.8,0.4742,1,0,1,447.242,830.9162
74.79,0.0357,1,0,1,482.2625,996.4446
71.39,-1.5782,1,1,1,390.3768,674.9638
57,0.9888,1,1,1,517.2126,524.0713
59.76,0.1191,1,0,1,538.8074,1750.147
56,-0.1685,1,0,1,389.8965,773.6328
60.29,0.3076,1,0,0,582.6208,785.0401
62.13,2.0364,1,0,1,454.0233,956.2035
25.2,0.2158,1,0,1,536.8,1060.04
43.85,-0.3239,3,0,1,557.7258,423.6999
70.34,0.4712,1,0,0,482.7586,1134.426
33.76,-0.7803,2,0,0,473.5185,474.3981
57,-0.831,1,0,0,566.0335,425.6052
73.91,1.6192,1,0,1,652.1427,508.8072
80.78,0.8726,1,0,0,652.1068,725.3383
75.13,1.1777,1,0,0,423.9135,752.9022
60.29,0.5041,1,0,0,550.4025,588.8771
62.13,0.2539,1,0,1,402.2695,684.6931
66.42,-1.217,1,-1,1,349.9526,414.1503
78.17,2.1031,2,0,1,374.9775,765.5425
29.16,-0.1685,2,0,0,487.8477,794.8265
62.39,1.4669,1,-1,0,514.0609,861.4836
62.39,0.3289,2,1,1,550.5553,871.0948
26.85,-0.4278,1,-1,1,337.2469,726.7811
70.89,-0.1692,1,0,1,523.9562,943.1797
76.65,-0.0907,1,0,0,502.1353,604.522
70.34,0.2489,2,0,0,512.5953,474.3981
21.64,-0.172,1,1,1,465.0835,869.3854
59.35,0.3313,1,0,1,486.8949,696.46
81.92,0.0299,1,1,1,454.962,1041.677
79.74,-0.3347,1,0,1,381.8835,557.7143
72.27,2.1297,1,0,0,427.0868,1432.356
82.41,0.5793,1,0,1,494.1139,717.3659
88.31,-0.8217,1,0,0,380.1213,660.8248
85.41,-0.1914,2,0,1,545.6353,2282.984
73.91,1.6343,1,0,1,669.9198,867.9743
42.3,-0.7442,1,0,0,396.3065,777.3291
68.7,-0.3147,1,0,1,452.6593,943.1797
30.9,-1.0569,2,0,0,556.1254,536.1598
76.65,1.3152,1,0,1,394.7913,586.0391
65.01,-0.3792,1,0,1,464.0062,487.9839
50.15,-1.1769,2,0,0,508.7103,1012.469
60.29,-0.226,1,0,0,422.5535,869.9329
36.35,-0.0864,2,0,1,391.775,1048.346
58.07,1.2429,1,0,0,280.062,652.9312
68.7,0.0303,1,0,1,470.6594,700.9747
17.55,-0.5418,2,0,0,609.9345,638.0784
11.56,-0.6943,2,0,0,234.2716,561.7039
30.78,0.1516,1,0,1,407.17,1792.216
74.66,-0.3162,1,-1,0,339.7251,410.2264
76.65,1.1109,1,0,1,484.2392,1014.635
88.7,1.3736,1,0,0,457.9727,823.1585
51.5,-0.724,2,2,1,443.8636,1072.886
81.13,-0.0074,2,0,0,512.6767,720.4376
82.41,2.9528,1,0,1,508.5649,584.2659
70.34,0.8349,1,0,0,497.2479,1432.356
28.48,0.7327,1,0,1,661.7053,603.1797
17.69,0.2471,1,-1,1,371.3933,773.6328
15.35,-0.7713,1,0,0,428.2771,752.9022
16.5,0.7593,1,0,1,511.6206,584.2659
35.34,-0.2741,2,0,0,410.4402,707.707
68.7,-0.1331,3,1,1,504.0042,783.1994
26.62,-0.146,2,0,0,353.8507,961.7906
65.42,1.1404,1,0,0,563.1059,673.3137
70.5,0.3799,1,1,1,520.4528,604.835
43.85,-0.2443,2,0,1,391.1327,875.2265
82.31,-0.0243,2,1,0,516.1847,678.1436
25.95,-0.4813,1,0,1,306.3067,817.0923
26.64,-2.1859,1,0,0,319.178,924.7837
82.41,-0.0504,1,0,1,472.5437,727.1103
71.39,-0.1521,3,0,0,378.3641,363.2123
68.88,-1.2657,3,0,1,323.5389,583.2306
52.72,-1.0957,1,0,1,317.8759,1000.093
30.78,0.6275,1,0,1,445.8494,1016.773
78.76,0.7872,1,0,0,495.0515,528.1723
39.02,2.1831,1,0,1,343.8406,487.9839
30.9,-0.879,1,0,1,412.625,552.1778
65.42,0.0529,1,0,0,352.7688,567.7518
65.01,0.1587,1,0,1,321.6396,656.2566
33.76,-1.0441,2,1,0,520.4801,705.983
44.14,-1.3415,2,0,1,484.949,561.7039
68.7,0.5404,1,0,1,462.5786,618.4042
17,0.2839,1,0,1,372.6551,536.2502
53.15,-0.1406,1,1,1,511.7745,589.8126
53.77,0.8311,1,0,1,507.5709,882.8742
20.91,-0.0104,1,0,1,417.2904,684.1351
